Name,FIPS,All Counties,ST,StateName,2016,2016D,2016R,2016O,2016%DR,2016%D,2016%R,2016%O,2016W,2016W+,2016A+,2016O+,2012,2012D,2012R,2012O,2012%DR,2012%D,2012%R,2012%O,2012W,2012W+,2012A+,2012O+,2008,2008D,2008R,2008O,2008%DR,2008%D,2008%R,2008%O,2008W,2008W+,2008A+,2008O+,2004,2004D,2004R,2004O,2004%DR,2004%D,2004%R,2004%O,2004W,2004W+,2004A+,2004O+,2000,2000D,2000R,2000O,2000%DR,2000%D,2000%R,2000%O,2000W,2000W+,2000A+,2000O+,1996,1996D,1996R,1996O,1996%DR,1996%D,1996%R,1996%O,1996W,1996W+,1996A+,1996O+,1992,1992D,1992R,1992O,1992%DR,1992%D,1992%R,1992%O,1992W,1992W+,1992A+,1992O+,1988,1988D,1988R,1988O,1988%DR,1988%D,1988%R,1988%O,1988W,1988W+,1988A+,1988O+,1984,1984D,1984R,1984O,1984%DR,1984%D,1984%R,1984%O,1984W,1984W+,1984A+,1984O+
0500000US15005,15005,Kalawao,HI,Hawaii,20,14,1,5,0.933333333,0.7,0.05,0.25,D,42,22,19,27,25,2,0,0.925925926,0.925925926,0.074074074,0,D,41,42,-2,31,24,7,0,0.774193548,0.774193548,0.225806452,0,D,24,25,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US48301,48301,Loving, TX,Texas,65,4,58,3,0.064516129,0.061538462,0.892307692,0.046153846,R,45,43,-1,64,9,54,1,0.142857143,0.140625,0.84375,0.015625,R,38,37,0,79,12,67,0,0.151898734,0.151898734,0.848101266,0,R,39,39,-2,80,12,65,3,0.155844156,0.15,0.8125,0.0375,R,33,31,3,156,29,124,3,0.189542484,0.185897436,0.794871795,0.019230769,R,31,32,-2,77,14,48,15,0.225806452,0.181818182,0.623376623,0.194805195,R,32,22,9,96,20,31,45,0.392156863,0.208333333,0.322916667,0.46875,R,14,5,27,77,23,54,0,0.298701299,0.298701299,0.701298701,0,R,16,17,-1,73,16,57,0,0.219178082,0.219178082,0.780821918,0,R,19,19,-1
0500000US48269,48269,King, TX,Texas,159,5,149,5,0.032467532,0.031446541,0.937106918,0.031446541,R,48,48,-3,145,5,139,1,0.034722222,0.034482759,0.95862069,0.006896552,R,49,49,-1,163,8,151,4,0.050314465,0.049079755,0.926380368,0.024539877,R,49,47,1,156,18,137,1,0.116129032,0.115384615,0.878205128,0.006410256,R,37,37,0,137,14,120,3,0.104477612,0.102189781,0.875912409,0.02189781,R,40,40,-2,182,46,97,39,0.321678322,0.252747253,0.532967033,0.214285714,R,22,12,11,189,54,79,56,0.406015038,0.285714286,0.417989418,0.296296296,R,13,4,10,175,64,111,0,0.365714286,0.365714286,0.634285714,0,R,9,10,-1,194,53,141,0,0.273195876,0.273195876,0.726804124,0,R,14,14,-1
0500000US48261,48261,Kenedy, TX,Texas,186,99,84,3,0.540983607,0.532258065,0.451612903,0.016129032,D,3,5,-4,167,82,84,1,0.493975904,0.491017964,0.502994012,0.005988024,R,3,3,-1,202,108,94,0,0.534653465,0.534653465,0.465346535,0,D,0,1,-2,169,85,82,2,0.508982036,0.50295858,0.485207101,0.01183432,D,2,2,0,228,119,106,3,0.528888889,0.521929825,0.464912281,0.013157895,D,3,4,-2,208,133,71,4,0.651960784,0.639423077,0.341346154,0.019230769,D,11,15,-8,174,87,69,18,0.557692308,0.5,0.396551724,0.103448276,D,2,7,-9,196,119,76,1,0.61025641,0.607142857,0.387755102,0.005102041,D,15,15,0,207,110,96,1,0.533980583,0.531400966,0.463768116,0.004830918,D,12,13,0
0500000US31005,31005,Arthur, NE,Nebraska,273,17,244,12,0.0651341,0.062271062,0.893772894,0.043956044,R,45,43,-2,262,30,227,5,0.116731518,0.114503817,0.866412214,0.019083969,R,40,39,0,263,39,217,7,0.15234375,0.148288973,0.825095057,0.02661597,R,38,37,1,266,24,240,2,0.090909091,0.090225564,0.902255639,0.007518797,R,40,40,0,272,26,235,11,0.099616858,0.095588235,0.863970588,0.040441176,R,40,38,0,258,25,187,46,0.117924528,0.096899225,0.724806202,0.178294574,R,43,32,8,264,18,148,98,0.108433735,0.068181818,0.560606061,0.371212121,R,42,19,18,269,58,210,1,0.21641791,0.215613383,0.780669145,0.003717472,R,24,25,-1,281,33,248,0,0.117437722,0.117437722,0.882562278,0,R,29,30,-1
0500000US31117,31117,Mcpherson, NE,Nebraska,287,14,257,16,0.051660517,0.048780488,0.895470383,0.055749129,R,46,44,0,291,41,237,13,0.147482014,0.140893471,0.81443299,0.04467354,R,37,34,3,293,45,240,8,0.157894737,0.153583618,0.819112628,0.027303754,R,38,36,1,312,49,259,4,0.159090909,0.157051282,0.830128205,0.012820513,R,33,32,0,301,48,244,9,0.164383562,0.159468439,0.810631229,0.029900332,R,34,33,-1,322,50,233,39,0.176678445,0.155279503,0.723602484,0.121118012,R,37,32,2,329,49,217,63,0.184210526,0.14893617,0.659574468,0.191489362,R,35,28,0,292,60,229,3,0.207612457,0.205479452,0.784246575,0.010273973,R,25,25,0,356,57,295,4,0.161931818,0.16011236,0.828651685,0.011235955,R,25,24,0
0500000US30069,30069,Petroleum, MT,Montana,322,30,278,14,0.097402597,0.093167702,0.863354037,0.043478261,R,41,40,-2,298,49,240,9,0.169550173,0.16442953,0.805369128,0.030201342,R,35,33,1,300,68,227,5,0.230508475,0.226666667,0.756666667,0.016666667,R,31,30,0,292,55,228,9,0.19434629,0.188356164,0.780821918,0.030821918,R,29,27,2,306,36,254,16,0.124137931,0.117647059,0.830065359,0.052287582,R,38,35,1,290,62,186,42,0.25,0.213793103,0.64137931,0.144827586,R,30,23,4,296,61,135,100,0.31122449,0.206081081,0.456081081,0.337837838,R,22,8,14,302,91,204,7,0.308474576,0.301324503,0.675496689,0.023178808,R,15,14,1,347,86,258,3,0.25,0.247838617,0.74351585,0.008645533,R,16,16,0
0500000US31009,31009,Blaine, NE,Nebraska,317,30,276,11,0.098039216,0.094637224,0.870662461,0.034700315,R,41,41,-3,303,29,268,6,0.097643098,0.095709571,0.884488449,0.01980198,R,42,41,0,316,43,266,7,0.139158576,0.136075949,0.841772152,0.022151899,R,40,39,1,339,38,301,0,0.112094395,0.112094395,0.887905605,0,R,38,38,-1,349,43,299,7,0.125730994,0.123209169,0.856733524,0.020057307,R,38,38,-2,378,53,284,41,0.15727003,0.14021164,0.751322751,0.108465608,R,39,34,1,453,64,256,133,0.2,0.141280353,0.565121413,0.293598234,R,33,19,10,411,72,338,1,0.175609756,0.175182482,0.822384428,0.00243309,R,28,29,-1,411,48,363,0,0.116788321,0.116788321,0.883211679,0,R,29,30,-1
0500000US48033,48033,Borden, TX,Texas,365,31,330,4,0.085872576,0.084931507,0.904109589,0.010958904,R,43,44,-5,363,32,324,7,0.08988764,0.08815427,0.892561983,0.019283747,R,43,42,0,361,40,316,5,0.112359551,0.110803324,0.87534626,0.013850416,R,42,42,0,359,55,303,1,0.153631285,0.153203343,0.844011142,0.002785515,R,33,34,-1,353,62,283,8,0.179710145,0.175637394,0.801699717,0.02266289,R,32,32,-1,334,93,194,47,0.324041812,0.278443114,0.580838323,0.140718563,R,22,17,4,378,106,184,88,0.365517241,0.28042328,0.486772487,0.232804233,R,17,11,4,454,169,283,2,0.373893805,0.372246696,0.623348018,0.004405286,R,9,9,-1,468,140,325,3,0.301075269,0.299145299,0.694444444,0.006410256,R,11,11,0
0500000US31075,31075,Grant, NE,Nebraska,405,20,367,18,0.051679587,0.049382716,0.90617284,0.044444444,R,46,45,-2,363,30,322,11,0.085227273,0.082644628,0.887052342,0.03030303,R,43,42,1,367,41,318,8,0.114206128,0.111716621,0.866485014,0.021798365,R,42,41,1,396,41,352,3,0.1043257,0.103535354,0.888888889,0.007575758,R,38,38,0,385,49,324,12,0.131367292,0.127272727,0.841558442,0.031168831,R,37,36,-1,398,84,258,56,0.245614035,0.211055276,0.648241206,0.140703518,R,30,24,4,449,75,247,127,0.232919255,0.167037862,0.550111359,0.28285078,R,30,17,9,392,89,301,2,0.228205128,0.227040816,0.767857143,0.005102041,R,23,23,0,459,51,406,2,0.111597374,0.111111111,0.88453159,0.004357298,R,30,30,0
